ID;Jour;Heure;Mode;Direction;Frequence;Motif_deplacement;Motif_dep_commentaires;Raison_plus_direct_plus_pratique;Raison_plus_agreable;Raison_moins_voiture;Raison_habitude;Raison_autre;Raison_autre_commentaire_libre;Sentiment_securite;Perception_risque_collision_pietons_cyclistes;Confort_rarement_gene_autres_usagers;Confort_lisibilite_positionnement;Perception_tensions;Cohabitation_agreable;Explication_ressenti_raison_1;Explication_ressenti_raison_2;Explication_ressenti_raison_3;Explication_ressenti_raison_4;Explication_ressenti_raison_5;Situations_evitement_axe;Evitement_quand;Evitement_pourquoi;Usagers_genants_cyclistes;Usagers_genants_livreurs_velo;Usagers_genants_pietons;Usagers_genants_trottinettes;Usagers_genants_voitures;Usagers_genants_camionnettes;Usagers_genants_autres;Usagers_genants_autres_commentaire_libre;Qualificatif_1;Qualificatif_2;Qualificatif_3;Genre;Age
P12;29/04/2025;08:30:00;pietons;sans reponse;tous les jours;promenade;NA;null;oui;null;null;null;NA;tout a fait d'accord;ne sait pas;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;tout a fait d'accord;comportement +;bon equilibre pietons cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;tres agreable;tres respectueuse;NA;femme;NA
P13;29/04/2025;08:30:00;pietons;vers gallia;tous les jours;promenade;NA;null;oui;null;null;null;NA;plutot d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;densite frequentation -;probleme avec les voitures;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;magnifique;dangereux;pas calme;femme;NA
P14;29/04/2025;08:30:00;pietons;vers corbeau;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;plutot pas d'accord;plutot d'accord;sans reponse;plutot d'accord;tout a fait d'accord;plutot pas d'accord;comportement -;comportement derangeant cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;ameliore;a reguler;NA;ne sait pas;NA
P15;29/04/2025;08:30:00;pietons;sans reponse;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;plutot pas d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;densite frequentation -;trop de monde en general;probleme avec les voitures;absence de separation;NA;oui;apres-midi;NA;null;null;null;null;null;null;null;NA;rapide;dangereux;imprevu;femme;NA
P16;29/04/2025;08:35:00;pietons;vers gallia;sans reponse;sans reponse;NA;null;oui;null;null;null;NA;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;NA;NA;NA;NA;NA;oui;NA;NA;null;null;null;null;null;null;null;NA;securise;agreable;NA;femme;NA
P17;29/04/2025;08:35:00;pietons;vers gallia;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;plutot d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;plutot d'accord;plutot pas d'accord;amenagement -;absence de separation;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;ameliorable;NA;femme;NA
P18;29/04/2025;08:35:00;pietons;vers gallia;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;comportement -;vitesse cyclistes;comportement derangeant cyclistes;manque de signaletique;NA;oui;le matin;trop de cyclistes;oui;oui;null;null;oui;null;null;NA;stressant;peuple;NA;femme;NA
P19;29/04/2025;08:40:00;pietons;vers gallia;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;pas du tout d'accord;comportement -;vitesse cyclistes;probleme avec les vehicule electrique (trotinettes,velos);NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;insecurite;risque;les enfants ont peur;femme;NA
P20;29/04/2025;08:40:00;pietons;vers corbeau;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;densite frequentation +;bon equilibre pietons cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;attention;habitue;surveillance;homme;NA
P21;29/04/2025;08:41:00;pietons;vers gallia;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;plutot pas d'accord;tout a fait d'accord;plutot pas d'accord;tout a fait d'accord;plutot d'accord;plutot pas d'accord;comportement -;comportement derangeant cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;far-west;NA;NA;homme;NA
P22;29/04/2025;08:45:00;pietons;vers corbeau;tous les jours;travail/etudes;NA;null;oui;null;null;null;NA;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;comportement +;bon equilibre pietons cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;magnifique;calme;amical;homme;NA
P23;29/04/2025;08:45:00;pietons;vers corbeau;tous les jours;travail/etudes;NA;null;oui;null;null;null;NA;tout a fait d'accord;plutot pas d'accord;plutot pas d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;amenagement +;amenagements bien adaptes;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;reussi;agreable;vivant;homme;NA
P24;29/04/2025;08:50:00;pietons;vers corbeau;toutes les semaines;promenade;NA;null;oui;null;oui;null;NA;pas du tout d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;ne sait pas;comportement -;aggresivite cyclistes;comportement derangeant cyclistes;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;nouveau;NA;NA;femme;NA
P25;29/04/2025;08:50:00;pietons;vers gallia;tous les jours;travail/etudes;NA;oui;oui;null;null;null;NA;tout a fait d'accord;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;plutot d'accord;amenagement -;probleme avec les voitures;NA;NA;NA;oui;NA;trop frequente;null;null;oui;null;null;null;null;NA;agreable;satisfaisant;NA;femme;NA
P26;29/04/2025;08:55:00;pietons;vers gallia;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;plutot pas d'accord;plutot pas d'accord;amenagement -;absence de separation;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;attention;NA;homme;NA
P27;29/04/2025;09:00:00;pietons;vers corbeau;tous les jours;activites/loisirs;NA;oui;null;null;null;null;NA;pas du tout d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;comportement -;comportement derangeant cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;dangereux;anarchie;encombre;femme;NA
P28;29/04/2025;09:05:00;pietons;vers gallia;tous les jours;autre;habitation;oui;null;null;null;null;NA;plutot pas d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;NA;NA;NA;NA;NA;oui;weekend;trop frequente;null;null;null;null;oui;oui;null;NA;beau;bazard;bonde;homme;NA
P29;29/04/2025;09:07:00;pietons;sans reponse;tous les jours;activites/loisirs;NA;null;null;null;null;null;NA;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;NA;NA;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;dangereux;NA;NA;femme;NA
P30;29/04/2025;09:10:00;pietons;vers corbeau;toutes les semaines;travail/etudes;NA;oui;null;null;null;null;NA;plutot d'accord;plutot d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;comportement -;comportement derangeant cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;individualiste;incoherent;force;femme;NA
P31;29/04/2025;09:10:00;pietons;vers gallia;tous les jours;promenade;NA;oui;null;null;oui;null;NA;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;comportement -;probleme avec les voitures;vitesse cyclistes;NA;NA;oui;le matin;trop frequente;null;oui;null;null;oui;null;null;NA;vigilant;crainte;NA;homme;NA
P32;29/04/2025;09:15:00;pietons;vers corbeau;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;plutot pas d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;plutot d'accord;plutot pas d'accord;NA;NA;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;convivial;securisant;bien;homme;NA
P33;29/04/2025;09:15:00;pietons;vers gallia;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;plutot pas d'accord;tout a fait d'accord;plutot pas d'accord;plutot pas d'accord;plutot pas d'accord;plutot pas d'accord;comportement -;comportement derangeant cyclistes;vitesse cyclistes;absence de separation;NA;non;NA;NA;null;null;null;null;null;null;null;NA;terrible;NA;NA;femme;NA
P34;29/04/2025;09:20:00;pietons;vers corbeau;toutes les semaines;travail/etudes;NA;null;oui;null;null;null;NA;pas du tout d'accord;plutot d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;comportement -;comportement derangeant cyclistes;NA;NA;NA;non;NA;NA;oui;null;null;oui;null;null;null;NA;insecurite;derange;irrespect;femme;NA
P35;29/04/2025;09:20:00;pietons;vers gallia;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;NA;NA;NA;NA;NA;oui;weekend;trop frequente;oui;null;null;null;null;null;null;NA;encombre;propre;peuple;femme;NA
P36;29/04/2025;09:25:00;pietons;vers corbeau;toutes les semaines;travail/etudes;NA;oui;null;null;null;null;NA;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;comportement -;vitesse cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;bruyant;dangereux;NA;homme;NA
P37;29/04/2025;09:30:00;pietons;vers gallia;toutes les semaines;activites/loisirs;NA;oui;null;null;null;null;NA;plutot d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot pas d'accord;amenagement -;absence de separation;NA;NA;NA;non;NA;NA;oui;null;null;null;null;null;null;NA;super;inquiet;agreable;femme;NA
P38;29/04/2025;09:30:00;pietons;sans reponse;tous les jours;travail/etudes;NA;oui;oui;null;null;null;NA;plutot pas d'accord;tout a fait d'accord;plutot pas d'accord;plutot d'accord;plutot pas d'accord;plutot pas d'accord;comportement -;vitesse cyclistes;comportement derangeant cyclistes;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;NA;NA;femme;NA
P39;29/04/2025;09:30:00;pietons;sans reponse;moins souvent;promenade;NA;null;null;oui;oui;null;NA;pas du tout d'accord;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;pas du tout d'accord;comportement -;comportement derangeant cyclistes;probleme avec les vehicule electrique (trotinettes,velos);NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;tres dangereux;pas sereine;null respect;femme;NA
P40;29/04/2025;09:30:00;pietons;vers corbeau;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;tout a fait d'accord;tout a fait d'accord;plutot pas d'accord;plutot pas d'accord;plutot d'accord;tout a fait d'accord;amenagement +;comportement derangeant cyclistes;amenagements bien adaptes;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;convivial;frequente;femme;NA
P41;29/04/2025;09:35:00;pietons;vers corbeau;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;plutot d'accord;tout a fait d'accord;plutot d'accord;plutot pas d'accord;tout a fait d'accord;pas du tout d'accord;amenagement -;manque de signaletique;conflits/tensions;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;dangereux;agreable;NA;femme;NA
P42;29/04/2025;09:35:00;pietons;vers gallia;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;plutot d'accord;plutot pas d'accord;plutot d'accord;tout a fait d'accord;plutot pas d'accord;plutot pas d'accord;amenagement -;absence de separation;vitesse livreurs a velo;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;rapide;pas ensoleille;femme;NA
P43;29/04/2025;09:35:00;pietons;sans reponse;moins souvent;travail/etudes;NA;null;oui;null;null;null;NA;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement -;vitesse cyclistes;vitesse livreurs a velo;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;NA;NA;femme;NA
P44;29/04/2025;09:40:00;pietons;vers corbeau;toutes les semaines;travail/etudes;NA;oui;null;null;null;null;NA;plutot d'accord;plutot d'accord;pas du tout d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;densite frequentation -;trop de pietons;conflits/tensions;NA;NA;non;NA;NA;oui;null;null;oui;null;null;null;NA;agreable;libre;utile;homme;NA
P45;29/04/2025;09:45:00;pietons;vers gallia;tous les jours;promenade;NA;null;null;null;null;oui;habitation;pas du tout d'accord;tout a fait d'accord;plutot d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement -;vitesse cyclistes;NA;NA;NA;non;NA;NA;oui;null;null;null;null;oui;null;NA;pas securite;pas agreable;NA;femme;NA
P46;29/04/2025;09:45:00;pietons;sans reponse;moins souvent;travail/etudes;NA;null;null;null;null;oui;par hasard;plutot d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;tout a fait d'accord;plutot pas d'accord;comportement -;comportement derangeant cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;fourre tout;NA;NA;homme;NA
P47;29/04/2025;09:46:00;pietons;vers gallia;tous les jours;promenade;NA;null;oui;null;oui;null;NA;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement -;vitesse cyclistes;pietons trop lents;NA;NA;non;NA;NA;oui;oui;null;oui;oui;oui;null;NA;agreable;tolerance reciproque;NA;homme;NA
P48;29/04/2025;09:47:00;pietons;vers gallia;tous les jours;travail/etudes;NA;oui;oui;oui;null;null;NA;plutot d'accord;tout a fait d'accord;plutot pas d'accord;plutot d'accord;tout a fait d'accord;plutot pas d'accord;comportement -;comportement derangeant cyclistes;probleme avec les voitures;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;individualiste;dangereux;agreable;homme;NA
P49;29/04/2025;09:50:00;pietons;vers corbeau;tous les jours;activites/loisirs;NA;oui;null;null;null;null;NA;tout a fait d'accord;tout a fait d'accord;plutot d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement -;vitesse livreurs a velo;vitesse cyclistes;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;efficace;perilleux;NA;homme;NA
P50;29/04/2025;09:54:00;pietons;vers corbeau;toutes les semaines;travail/etudes;NA;oui;oui;null;null;null;NA;pas du tout d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;pas du tout d'accord;densite frequentation -;trop de monde en general;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;difficile;dangereux;individualiste;femme;NA
P51;29/04/2025;09:55:00;pietons;vers gallia;tous les jours;travail/etudes;NA;oui;oui;null;null;null;NA;tout a fait d'accord;plutot pas d'accord;plutot d'accord;tout a fait d'accord;pas du tout d'accord;plutot d'accord;amenagement -;absence de separation;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;encombre;NA;homme;NA
P52;29/04/2025;10:00:00;pietons;sans reponse;toutes les semaines;activites/loisirs;NA;null;null;null;null;oui;destination;tout a fait d'accord;pas du tout d'accord;plutot pas d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;amenagement -;manque de signaletique;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;calme;NA;homme;NA
P53;29/04/2025;10:00:00;pietons;sans reponse;tous les jours;promenade;NA;null;oui;null;null;null;NA;plutot d'accord;plutot d'accord;plutot d'accord;tout a fait d'accord;pas du tout d'accord;plutot pas d'accord;comportement -;comportement derangeant cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;fluide;pas de soucis;neutre;homme;NA
P54;29/04/2025;10:02:00;pietons;vers corbeau;tous les jours;travail/etudes;NA;null;oui;null;null;null;NA;tout a fait d'accord;plutot d'accord;plutot d'accord;plutot d'accord;tout a fait d'accord;plutot d'accord;comportement -;comportement derangeant cyclistes;absence de separation;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;cohabitation;NA;femme;NA
P55;29/04/2025;10:05:00;pietons;vers gallia;tous les jours;activites/loisirs;NA;null;oui;null;null;null;NA;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement -;comportement derangeant cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;oui;null;null;NA;reposant;agreable;NA;homme;NA
P56;29/04/2025;10:05:00;pietons;vers gallia;tous les jours;travail/etudes;NA;null;oui;null;null;null;NA;tout a fait d'accord;plutot d'accord;plutot d'accord;plutot pas d'accord;plutot d'accord;plutot pas d'accord;NA;NA;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;pratique;NA;femme;NA
P57;29/04/2025;10:07:00;pietons;vers gallia;toutes les semaines;travail/etudes;NA;null;oui;oui;null;null;NA;plutot d'accord;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;plutot d'accord;plutot pas d'accord;comportement -;comportement derangeant cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;NA;NA;femme;NA
P58;29/04/2025;10:10:00;pietons;vers gallia;tous les jours;travail/etudes;NA;oui;null;null;oui;null;NA;plutot d'accord;plutot d'accord;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;plutot d'accord;comportement -;probleme avec les voitures;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;rapide;NA;homme;NA
P59;29/04/2025;10:10:00;pietons;vers corbeau;toutes les semaines;activites/loisirs;NA;null;null;null;null;oui;destination;plutot d'accord;pas du tout d'accord;plutot d'accord;plutot pas d'accord;pas du tout d'accord;ne sait pas;densite frequentation -;trop de cyclistes;NA;NA;NA;oui;NA;trop frequente;null;null;null;null;null;null;null;NA;bien;plaisant;serein;ne sait pas;NA
P60;29/04/2025;10:15:00;pietons;vers gallia;tous les jours;travail/etudes;NA;oui;null;null;null;null;NA;plutot d'accord;plutot d'accord;plutot d'accord;plutot d'accord;plutot d'accord;plutot d'accord;comportement -;probleme avec les voitures;NA;NA;NA;non;NA;NA;null;null;null;null;oui;null;null;NA;change;agreable;NA;femme;NA
P61;29/04/2025;10:17:00;pietons;vers corbeau;toutes les semaines;promenade;NA;null;oui;null;null;null;NA;tout a fait d'accord;pas du tout d'accord;pas du tout d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;comportement -;conflits/tensions;NA;NA;NA;oui;samedi;trop frequente;null;oui;null;null;null;null;null;NA;apaisant;reposant;plaisant;homme;NA
P62;29/04/2025;10:19:00;pietons;vers corbeau;premiere fois;promenade;NA;null;oui;null;null;null;NA;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;tout a fait d'accord;sans reponse;plutot d'accord;amenagement -;manque de signaletique;NA;NA;NA;non-concerne;NA;NA;null;null;null;null;null;null;null;NA;securise;attentif;attention;homme;NA
P63;29/04/2025;10:20:00;pietons;sans reponse;tous les jours;promenade;NA;null;oui;null;null;null;NA;plutot d'accord;pas du tout d'accord;plutot d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;amenagement -;manque de signaletique;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;beau;cohabitation;NA;femme;NA
P64;29/04/2025;10:20:00;pietons;vers corbeau;moins souvent;activites/loisirs;NA;oui;null;null;null;null;NA;tout a fait d'accord;plutot d'accord;pas du tout d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;densite frequentation -;trop de monde en general;absence de separation;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;convivial;pratique;femme;NA
P65;29/04/2025;10:20:00;pietons;vers gallia;premiere fois;promenade;NA;null;oui;null;null;null;NA;plutot d'accord;plutot d'accord;plutot d'accord;pas du tout d'accord;pas du tout d'accord;sans reponse;comportement;absence de separation;NA;NA;NA;non-concerne;NA;NA;null;null;null;null;null;null;null;NA;surprenant;NA;NA;homme;NA
P66;29/04/2025;10:22:00;pietons;vers corbeau;premiere fois;promenade;NA;null;oui;null;null;null;NA;plutot d'accord;plutot pas d'accord;plutot pas d'accord;plutot d'accord;plutot pas d'accord;plutot pas d'accord;comportement -;vitesse cyclistes;vitesse livreurs a velo;NA;NA;non-concerne;NA;NA;null;null;null;null;null;null;null;NA;relaxant;fluide;NA;femme;NA
P67;29/04/2025;10:25:00;pietons;vers corbeau;premiere fois;promenade;NA;null;oui;null;null;null;NA;plutot pas d'accord;pas du tout d'accord;plutot pas d'accord;tout a fait d'accord;plutot d'accord;tout a fait d'accord;comportement;NA;NA;NA;NA;non-concerne;NA;NA;null;null;null;null;null;null;null;NA;plaisant;NA;NA;femme;NA
P68;29/04/2025;10:25:00;pietons;sans reponse;toutes les semaines;activites/loisirs;NA;oui;null;null;null;null;NA;tout a fait d'accord;plutot d'accord;plutot pas d'accord;plutot pas d'accord;plutot d'accord;plutot pas d'accord;comportement +;comportement derangeant cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;null;oui;null;NA;jolie vue;risque;NA;homme;NA
P69;29/04/2025;10:26:00;pietons;vers gallia;tous les jours;travail/etudes;NA;null;oui;null;null;null;NA;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;tout a fait d'accord;plutot pas d'accord;tout a fait d'accord;NA;NA;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;jolie;NA;homme;NA
P70;29/04/2025;10:30:00;pietons;vers corbeau;moins souvent;promenade;NA;null;null;oui;null;oui;car c'est pieton;tout a fait d'accord;plutot pas d'accord;pas du tout d'accord;plutot d'accord;ne sait pas;plutot d'accord;comportement -;vitesse cyclistes;NA;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;calme;NA;NA;homme;NA
P71;29/04/2025;10:31:00;pietons;vers corbeau;tous les jours;activites/loisirs;NA;null;oui;null;null;null;NA;plutot d'accord;tout a fait d'accord;plutot pas d'accord;tout a fait d'accord;tout a fait d'accord;pas du tout d'accord;comportement -;aggresivite cyclistes;comportement derangeant cyclistes;NA;NA;non;NA;NA;null;null;null;null;null;null;null;NA;agreable;NA;NA;femme;NA
